start_timestamp,energy_kwh
2022-01-01,5024.4
2022-01-02,3861.3
2022-01-03,6250.3
2022-01-04,5620.4
2022-01-05,6104.1
2022-01-06,6041.6
2022-01-07,6105.7
2022-01-08,3593.9
2022-01-09,3934.2
2022-01-10,6425.7
2022-01-11,5964.1
2022-01-12,6020.5
2022-01-13,5646.3
2022-01-14,5889.6
2022-01-15,4750.1
2022-01-16,3958.0
2022-01-17,6381.0
2022-01-18,5765.6
2022-01-19,5561.2
2022-01-20,6144.7
2022-01-21,6132.4
2022-01-22,4743.7
2022-01-23,4522.5
2022-01-24,5805.2
2022-01-25,5031.9
2022-01-26,5906.0
2022-01-27,5342.8
2022-01-28,6416.0
2022-01-29,4704.1
2022-01-30,3790.9
2022-01-31,5728.1
2022-02-01,6167.4
2022-02-02,5371.5
2022-02-03,5808.2
2022-02-04,6382.2
2022-02-05,4291.1
2022-02-06,4376.0
2022-02-07,5366.4
2022-02-08,6226.7
2022-02-09,6017.5
2022-02-10,6851.1
2022-02-11,6669.3
2022-02-12,3593.2
2022-02-13,3965.5
2022-02-14,5848.2
2022-02-15,5356.5
2022-02-16,6775.8
2022-02-17,5388.0
2022-02-18,5742.3
2022-02-19,4183.0
2022-02-20,3911.0
2022-02-21,5718.6
2022-02-22,7395.6
2022-02-23,5980.9
2022-02-24,5680.1
2022-02-25,6985.5
2022-02-26,4450.9
2022-02-27,4942.5
2022-02-28,6263.9
2022-03-01,5804.8
2022-03-02,7071.5
2022-03-03,5529.4
2022-03-04,5690.6
2022-03-05,3846.4
2022-03-06,4482.7
2022-03-07,6274.4
2022-03-08,6204.0
2022-03-09,7011.7
2022-03-10,6749.8
2022-03-11,5731.2
2022-03-12,4114.7
2022-03-13,4447.2
2022-03-14,6401.6
2022-03-15,6310.8
2022-03-16,6446.8
2022-03-17,6016.4
2022-03-18,5530.8
2022-03-19,4285.6
2022-03-20,4240.1
2022-03-21,5087.3
2022-03-22,5871.9
2022-03-23,5502.1
2022-03-24,6529.8
2022-03-25,6509.5
2022-03-26,4447.2
2022-03-27,4716.6
2022-03-28,6374.1
2022-03-29,6177.3
2022-03-30,5461.7
2022-03-31,4810.2
2022-04-01,5486.8
2022-04-02,4594.4
2022-04-03,4595.6
2022-04-04,5936.3
2022-04-05,6028.3
2022-04-06,6529.7
2022-04-07,5467.4
